2024-01-01,2024-10-19T01:02:20.000-06:00,ASESORÍA JURÍDICA,FEMENINO,,CERRADO,TLALPAN,La Palma,19.250095911703,-99.157668028529
2024-01-01,2024-10-19T03:55:09.000-06:00,SOLICITUD DE VIGILANCIA,FEMENINO,,CERRADO,IZTACALCO,Nueva Santa Anita,19.39858556948,-99.128532174844
2024-01-01,2024-10-19T09:56:19.000-06:00,OTRO,FEMENINO,,CERRADO,IZTAPALAPA,Polvorilla,19.3183916,-99.0449706
2024-01-01,2024-10-19T09:08:34.000-06:00,BACHEO,FEMENINO,,AUTORIDAD RESPONSABLE,NA,NA,,
2024-01-01,2024-10-19T10:23:57.000-06:00,SOLICITUD DE VIGILANCIA,FEMENINO,,CERRADO,NA,NA,,
2024-01-01,2024-10-19T10:28:16.000-06:00,FALTA DE AGUA,FEMENINO,,CERRADO,NA,NA,,
2024-01-01,2024-10-19T09:31:37.000-06:00,SOLICITUD DE VIGILANCIA,FEMENINO,,CERRADO,NA,NA,,
2024-01-01,2024-10-19T11:04:11.000-06:00,OTRO,FEMENINO,,CERRADO,IZTAPALAPA,Polvorilla,19.31782,-99.044361
2024-01-01,2024-10-19T21:02:56.000-06:00,FUGA DE AGUA,FEMENINO,,CERRADO,TLALPAN,Floresta Coyoacan,19.30331817844,-99.127980268092
2024-01-01,2024-10-19T20:14:44.000-06:00,QUEJA DE TRANSPORTE PUBLICO,FEMENINO,,CERRADO,NA,NA,,
2024-01-01,2024-10-19T21:18:09.000-06:00,FALTA DE AGUA,FEMENINO,,AUTORIDAD RESPONSABLE,CUAUHTEMOC,Atlampa,19.457194692732,-99.159252383066
2024-01-01,2024-10-19T21:35:42.000-06:00,FALTA DE AGUA,FEMENINO,,CERRADO,VENUSTIANO CARRANZA,Ampliacion Michoacana,19.449034292499,-99.113449989109
2024-01-01,2024-10-19T21:36:28.000-06:00,OTRO,FEMENINO,,CERRADO,NA,NA,,
2024-01-01,2024-10-19T22:21:42.000-06:00,BECAS,FEMENINO,,CERRADO,NA,NA,,
2024-01-01,2024-10-19T22:28:11.000-06:00,ALUMBRADO,FEMENINO,,AUTORIDAD RESPONSABLE,NA,NA,,
2024-01-01,2024-10-19T22:12:13.000-06:00,ALUMBRADO,FEMENINO,,CERRADO,NA,NA,,
2024-01-01,2024-10-19T17:38:59.000-06:00,ALUMBRADO,FEMENINO,,CERRADO,NA,NA,,
2024-01-01,2024-10-19T15:07:51.000-06:00,OTRO,FEMENINO,,CERRADO,IZTAPALAPA,Desarrollo Urbano Quetzalcoatl,19.326515,-99.0377061
2024-01-01,2024-10-19T14:11:23.000-06:00,PODA / RETIRO ARBOL,FEMENINO,,CERRADO,NA,NA,,
2024-01-01,2024-10-19T15:23:30.000-06:00,LIMPIEZA VIA PUBLICA,FEMENINO,,CERRADO,BENITO JUAREZ,Del Valle Norte,19.398121588011,-99.161272531707
2024-01-01,2024-10-19T15:32:10.000-06:00,OTRO,FEMENINO,,CERRADO,IZTAPALAPA,Desarrollo Urbano Quetzalcoatl,19.3257298,-99.037608
